date,admissions_total,admissions_white,admissions_black,admissions_hispanic,admissions_amerind,admissions_asian,admissions_other,releases_total,releases_white,releases_black,releases_hispanic,releases_amerind,releases_asian,releases_other,state
2015-02-01,1583,600,193,633.0,130.0,6.0,21.0,1649,653,194,688.0,85.0,7.0,22.0,Arizona
2015-03-01,1580,615,189,640.0,114.0,3.0,19.0,1559,644,169,610.0,111.0,6.0,19.0,Arizona
2015-04-01,1779,706,235,701.0,115.0,4.0,18.0,1693,703,206,657.0,93.0,5.0,29.0,Arizona
2015-05-01,1821,730,260,669.0,125.0,8.0,29.0,1659,685,193,616.0,136.0,3.0,26.0,Arizona
2015-06-01,1689,704,215,618.0,129.0,0.0,23.0,1570,651,174,603.0,111.0,7.0,24.0,Arizona
2015-07-01,1871,758,223,738.0,121.0,5.0,26.0,1718,673,224,662.0,132.0,5.0,22.0,Arizona
2015-08-01,1784,760,206,670.0,119.0,6.0,23.0,1637,661,221,626.0,107.0,4.0,18.0,Arizona
2015-09-01,1623,659,177,629.0,123.0,8.0,27.0,1665,659,198,653.0,120.0,9.0,26.0,Arizona
2015-10-01,1673,673,236,636.0,102.0,8.0,18.0,1653,673,188,641.0,123.0,4.0,24.0,Arizona
2015-11-01,1780,734,205,696.0,110.0,10.0,25.0,1616,648,202,630.0,108.0,5.0,23.0,Arizona
2015-12-01,1526,550,219,626.0,88.0,2.0,41.0,1659,671,167,670.0,119.0,5.0,27.0,Arizona
2016-01-01,1569,614,199,588.0,133.0,4.0,31.0,1693,713,183,652.0,113.0,9.0,23.0,Arizona
2016-02-01,1547,618,205,577.0,118.0,5.0,24.0,1505,628,165,584.0,105.0,3.0,20.0,Arizona
2016-03-01,1449,581,198,520.0,122.0,2.0,26.0,1508,615,183,588.0,99.0,4.0,19.0,Arizona
2016-04-01,1660,672,179,631.0,137.0,7.0,34.0,1605,673,167,605.0,127.0,6.0,27.0,Arizona
2016-05-01,1627,657,176,649.0,123.0,3.0,19.0,1477,637,187,521.0,106.0,6.0,20.0,Arizona
2016-06-01,1608,621,190,630.0,132.0,6.0,29.0,1552,621,208,552.0,133.0,9.0,29.0,Arizona
2016-07-01,1615,648,180,634.0,116.0,6.0,31.0,1600,661,197,608.0,104.0,5.0,25.0,Arizona
2016-08-01,1457,600,179,532.0,113.0,6.0,27.0,1505,608,185,567.0,114.0,6.0,25.0,Arizona
2016-09-01,1474,616,186,530.0,112.0,8.0,22.0,1691,684,213,640.0,123.0,5.0,26.0,Arizona
2016-10-01,1583,622,215,613.0,99.0,5.0,29.0,1609,648,199,599.0,133.0,6.0,24.0,Arizona
2016-11-01,1478,604,196,538.0,108.0,5.0,27.0,1522,622,197,564.0,110.0,3.0,26.0,Arizona
2016-12-01,1327,534,186,487.0,89.0,6.0,25.0,1524,594,180,597.0,125.0,7.0,21.0,Arizona
2017-01-01,1463,573,208,541.0,105.0,8.0,28.0,1536,622,194,603.0,91.0,5.0,21.0,Arizona
2017-02-01,1461,532,189,589.0,121.0,4.0,26.0,1510,568,176,633.0,96.0,2.0,35.0,Arizona
2017-03-01,1379,523,152,552.0,124.0,4.0,24.0,1443,568,167,568.0,109.0,5.0,26.0,Arizona
2017-04-01,1782,689,212,714.0,122.0,3.0,42.0,1673,650,213,660.0,108.0,4.0,38.0,Arizona
2017-05-01,1510,600,194,567.0,117.0,3.0,29.0,1534,639,199,585.0,92.0,4.0,15.0,Arizona
2017-06-01,1516,610,204,565.0,105.0,6.0,26.0,1661,622,207,656.0,139.0,6.0,31.0,Arizona
2017-07-01,1685,713,199,624.0,111.0,8.0,30.0,1609,641,192,631.0,112.0,5.0,28.0,Arizona
2017-08-01,1491,585,189,562.0,114.0,5.0,36.0,1507,632,179,553.0,115.0,4.0,24.0,Arizona
2017-09-01,1691,659,240,647.0,113.0,7.0,25.0,1674,651,215,664.0,102.0,5.0,37.0,Arizona
2017-10-01,1630,671,227,570.0,126.0,9.0,27.0,1609,637,185,631.0,128.0,5.0,23.0,Arizona
2017-11-01,1455,592,197,541.0,99.0,8.0,18.0,1480,608,184,537.0,118.0,6.0,27.0,Arizona
2017-12-01,1410,577,180,505.0,113.0,12.0,23.0,1534,634,204,568.0,101.0,7.0,20.0,Arizona
2018-01-01,1447,597,168,533.0,121.0,10.0,18.0,1556,619,182,615.0,107.0,6.0,27.0,Arizona
2018-02-01,1334,537,187,491.0,90.0,3.0,26.0,1571,579,204,646.0,105.0,6.0,31.0,Arizona
2018-03-01,1389,571,158,515.0,114.0,6.0,25.0,1435,571,174,557.0,104.0,5.0,24.0,Arizona
2018-04-01,1778,711,261,645.0,123.0,13.0,25.0,1571,613,211,599.0,121.0,7.0,20.0,Arizona
2018-05-01,1547,608,200,586.0,120.0,11.0,22.0,1438,587,187,519.0,114.0,6.0,25.0,Arizona
2018-06-01,1617,647,226,582.0,132.0,5.0,25.0,1543,622,173,595.0,118.0,11.0,24.0,Arizona
2018-07-01,1515,613,204,551.0,111.0,6.0,30.0,1473,579,163,596.0,105.0,4.0,26.0,Arizona
2018-08-01,1551,621,215,553.0,127.0,9.0,26.0,1497,604,181,558.0,125.0,5.0,24.0,Arizona
2018-09-01,1605,657,202,581.0,112.0,13.0,40.0,1631,663,186,608.0,131.0,9.0,34.0,Arizona
2018-10-01,1358,542,171,513.0,103.0,6.0,23.0,1409,543,189,529.0,105.0,9.0,34.0,Arizona
2018-11-01,1470,601,187,525.0,121.0,6.0,30.0,1531,643,192,534.0,127.0,4.0,31.0,Arizona
2018-12-01,1502,581,225,562.0,94.0,4.0,37.0,1554,639,186,578.0,126.0,7.0,19.0,Arizona
2019-01-01,1460,588,179,549.0,118.0,6.0,20.0,1500,578,185,581.0,123.0,6.0,27.0,Arizona
2019-02-01,1426,568,174,528.0,134.0,6.0,16.0,1580,649,211,573.0,117.0,8.0,22.0,Arizona
2019-03-01,1355,512,212,484.0,113.0,10.0,24.0,1334,504,181,525.0,94.0,5.0,25.0,Arizona
2019-04-01,1666,662,193,649.0,131.0,2.0,29.0,1376,529,153,550.0,109.0,10.0,25.0,Arizona
2019-05-01,1578,640,190,579.0,132.0,5.0,32.0,1400,537,180,534.0,120.0,6.0,23.0,Arizona
2019-06-01,1658,690,209,597.0,123.0,6.0,33.0,1598,641,220,583.0,117.0,5.0,32.0,Arizona
2019-07-01,1462,559,202,534.0,126.0,4.0,37.0,1482,564,223,549.0,115.0,7.0,24.0,Arizona
2019-08-01,1518,609,200,545.0,147.0,4.0,14.0,1567,622,214,554.0,149.0,4.0,24.0,Arizona
2019-09-01,1662,622,224,619.0,159.0,6.0,32.0,1469,598,180,563.0,103.0,6.0,19.0,Arizona
2019-10-01,1527,581,228,564.0,116.0,7.0,31.0,1435,553,213,545.0,99.0,7.0,18.0,Arizona
2019-11-01,1666,636,223,627.0,121.0,10.0,49.0,1551,603,206,565.0,146.0,7.0,24.0,Arizona
2019-12-01,1326,508,202,486.0,89.0,6.0,35.0,1427,559,163,559.0,117.0,10.0,19.0,Arizona
2020-01-01,1389,548,176,513.0,110.0,6.0,36.0,1510,611,190,571.0,101.0,9.0,29.0,Arizona
2020-02-01,1427,538,183,550.0,112.0,6.0,38.0,1446,566,203,529.0,105.0,9.0,34.0,Arizona
2020-03-01,1201,442,172,467.0,92.0,5.0,23.0,1341,516,167,520.0,110.0,5.0,23.0,Arizona
2020-04-01,1182,468,157,416.0,97.0,7.0,37.0,1480,591,200,532.0,123.0,6.0,28.0,Arizona
2020-05-01,938,354,136,352.0,76.0,6.0,14.0,1473,567,212,524.0,132.0,6.0,32.0,Arizona
2020-06-01,1065,408,162,394.0,80.0,4.0,17.0,1509,590,243,521.0,115.0,13.0,27.0,Arizona
2020-07-01,635,262,81,207.0,75.0,3.0,7.0,1489,565,198,574.0,119.0,4.0,29.0,Arizona
2020-08-01,557,243,58,189.0,51.0,2.0,14.0,1369,483,192,535.0,123.0,5.0,32.0,Arizona
2020-09-01,1117,442,145,413.0,89.0,4.0,24.0,1303,520,163,498.0,89.0,5.0,28.0,Arizona
2020-10-01,996,406,142,346.0,87.0,3.0,12.0,1255,473,156,506.0,97.0,2.0,21.0,Arizona
2020-11-01,975,366,134,355.0,78.0,5.0,37.0,1374,540,182,512.0,109.0,2.0,29.0,Arizona
2020-12-01,892,335,137,316.0,74.0,9.0,21.0,1246,461,166,495.0,98.0,1.0,25.0,Arizona
2021-01-01,959,377,144,336.0,68.0,2.0,32.0,1369,523,166,546.0,99.0,3.0,32.0,Arizona
2021-02-01,886,353,122,313.0,69.0,2.0,27.0,1221,461,151,477.0,92.0,5.0,35.0,Arizona
2021-03-01,864,295,119,360.0,67.0,3.0,20.0,1285,477,174,486.0,114.0,3.0,31.0,Arizona
2021-04-01,1052,369,142,430.0,74.0,2.0,35.0,1323,499,180,507.0,116.0,2.0,19.0,Arizona
2021-05-01,1103,353,163,470.0,88.0,5.0,24.0,1238,457,186,462.0,89.0,8.0,36.0,Arizona
2021-06-01,972,376,135,361.0,65.0,3.0,32.0,1275,472,177,501.0,86.0,6.0,33.0,Arizona
2021-07-01,1145,440,162,419.0,95.0,9.0,20.0,1457,567,209,523.0,118.0,11.0,29.0,Arizona
2021-08-01,1058,388,150,400.0,90.0,8.0,22.0,1266,468,159,502.0,105.0,5.0,27.0,Arizona
2021-09-01,1049,389,150,391.0,87.0,6.0,26.0,1306,468,187,515.0,89.0,14.0,33.0,Arizona
2021-10-01,1093,396,156,427.0,83.0,7.0,24.0,1172,432,139,474.0,97.0,6.0,24.0,Arizona
2021-11-01,912,356,124,334.0,75.0,4.0,19.0,1679,641,229,631.0,131.0,13.0,34.0,Arizona
2021-12-01,888,322,129,335.0,85.0,5.0,12.0,1329,486,200,512.0,88.0,6.0,37.0,Arizona
2022-01-01,917,327,103,382.0,83.0,5.0,17.0,1264,467,187,490.0,90.0,5.0,25.0,Arizona
2022-02-01,961,371,111,369.0,78.0,4.0,28.0,1159,433,157,434.0,107.0,2.0,26.0,Arizona
2022-03-01,922,339,135,355.0,74.0,4.0,15.0,1033,367,145,407.0,79.0,8.0,27.0,Arizona
2022-04-01,1218,433,177,484.0,94.0,6.0,24.0,1178,439,164,449.0,100.0,4.0,22.0,Arizona
2022-05-01,1172,427,153,485.0,79.0,5.0,23.0,1124,415,148,425.0,93.0,3.0,40.0,Arizona
2022-06-01,1145,424,171,429.0,96.0,6.0,19.0,1248,422,191,480.0,115.0,7.0,33.0,Arizona
2022-07-01,1027,369,135,406.0,89.0,4.0,24.0,1187,430,161,450.0,103.0,1.0,42.0,Arizona
2022-08-01,1076,377,172,415.0,90.0,8.0,14.0,1121,414,152,431.0,99.0,5.0,20.0,Arizona
2022-09-01,1275,459,191,503.0,98.0,2.0,22.0,1214,473,146,471.0,90.0,8.0,26.0,Arizona
2015-01-01,98,79,10,0.0,4.0,0.0,5.0,117,98,11,0.0,5.0,0.0,3.0,Maine
2015-02-01,94,79,9,0.0,3.0,0.0,3.0,108,95,10,0.0,0.0,0.0,3.0,Maine
2015-03-01,116,101,9,0.0,3.0,1.0,2.0,88,76,7,0.0,3.0,0.0,2.0,Maine
2015-04-01,86,74,6,0.0,5.0,0.0,1.0,89,75,7,0.0,7.0,0.0,0.0,Maine
