date,data_or_inferred,incarcerated_total,incarcerated_white,incarcerated_black,incarcerated_hispanic,incarcerated_amerind,incarcerated_asian,incarcerated_other,incarcerated_unknown,incarcerated_nonwhite,state,url
2000-01-01,raw data,25213.0,8753,16382.0,,,,78.0,,16460.0,Alabama,http://www.doc.state.al.us/StatReports
2000-02-01,raw data,25213.0,8753,16382.0,,,,78.0,,16460.0,Alabama,http://www.doc.state.al.us/StatReports
2000-03-01,raw data,25161.0,8723,16361.0,,,,77.0,,16438.0,Alabama,http://www.doc.state.al.us/StatReports
2000-04-01,raw data,25200.0,8738,16380.0,,,,82.0,,16462.0,Alabama,http://www.doc.state.al.us/StatReports
2000-05-01,raw data,25226.0,8788,16358.0,,,,80.0,,16438.0,Alabama,http://www.doc.state.al.us/StatReports
2000-06-01,raw data,25425.0,8867,16480.0,,,,78.0,,16558.0,Alabama,http://www.doc.state.al.us/StatReports
2000-07-01,raw data,25612.0,8912,16620.0,,,,80.0,,16700.0,Alabama,http://www.doc.state.al.us/StatReports
2000-08-01,raw data,25568.0,8872,16611.0,,,,85.0,,16696.0,Alabama,http://www.doc.state.al.us/StatReports
2000-09-01,raw data,25600.0,8876,16638.0,,,,86.0,,16724.0,Alabama,http://www.doc.state.al.us/StatReports
2000-10-01,raw data,25873.0,9000,16786.0,,,,87.0,,16873.0,Alabama,http://www.doc.state.al.us/StatReports
2000-11-01,raw data,26049.0,9103,16860.0,,,,86.0,,16946.0,Alabama,http://www.doc.state.al.us/StatReports
2000-12-01,raw data,26187.0,9156,16940.0,,,,91.0,,17031.0,Alabama,http://www.doc.state.al.us/StatReports
2001-01-01,raw data,26406.0,9293,17019.0,,,,94.0,,17113.0,Alabama,http://www.doc.state.al.us/StatReports
2001-02-01,raw data,26412.0,9296,17022.0,,,,94.0,,17116.0,Alabama,http://www.doc.state.al.us/StatReports
2001-03-01,raw data,26596.0,9406,17098.0,,,,92.0,,17190.0,Alabama,http://www.doc.state.al.us/StatReports
2001-04-01,raw data,26875.0,9557,17229.0,,,,89.0,,17318.0,Alabama,http://www.doc.state.al.us/StatReports
2001-05-01,raw data,27039.0,9640,17308.0,,,,91.0,,17399.0,Alabama,http://www.doc.state.al.us/StatReports
2001-06-01,raw data,27102.0,9650,17357.0,,,,95.0,,17452.0,Alabama,http://www.doc.state.al.us/StatReports
2001-07-01,raw data,27286.0,9738,17455.0,,,,93.0,,17548.0,Alabama,http://www.doc.state.al.us/StatReports
2001-08-01,raw data,27076.0,9628,17366.0,,,,82.0,,17448.0,Alabama,http://www.doc.state.al.us/StatReports
2001-09-01,raw data,26826.0,9555,17194.0,,,,77.0,,17271.0,Alabama,http://www.doc.state.al.us/StatReports
2001-10-01,raw data,26728.0,9486,17164.0,,,,78.0,,17242.0,Alabama,http://www.doc.state.al.us/StatReports
2001-11-01,raw data,26778.0,9554,17137.0,,,,87.0,,17224.0,Alabama,http://www.doc.state.al.us/StatReports
2001-12-01,raw data,26798.0,9592,17114.0,,,,92.0,,17206.0,Alabama,http://www.doc.state.al.us/StatReports
2002-01-01,raw data,26741.0,9622,17026.0,,,,93.0,,17119.0,Alabama,http://www.doc.state.al.us/StatReports
2002-02-01,raw data,26811.0,9645,17071.0,,,,95.0,,17166.0,Alabama,http://www.doc.state.al.us/StatReports
2002-03-01,raw data,26972.0,9716,17160.0,,,,96.0,,17256.0,Alabama,http://www.doc.state.al.us/StatReports
2002-04-01,raw data,27170.0,9842,17231.0,,,,97.0,,17328.0,Alabama,http://www.doc.state.al.us/StatReports
2002-05-01,raw data,27139.0,9899,17144.0,,,,96.0,,17240.0,Alabama,http://www.doc.state.al.us/StatReports
2002-06-01,raw data,27314.0,9978,17238.0,,,,98.0,,17336.0,Alabama,http://www.doc.state.al.us/StatReports
2002-07-01,raw data,27495.0,10067,17336.0,,,,92.0,,17428.0,Alabama,http://www.doc.state.al.us/StatReports
2002-08-01,raw data,27450.0,10032,17331.0,,,,87.0,,17418.0,Alabama,http://www.doc.state.al.us/StatReports
2002-09-01,raw data,27528.0,10069,17374.0,,,,85.0,,17459.0,Alabama,http://www.doc.state.al.us/StatReports
2002-10-01,raw data,27656.0,10106,17465.0,,,,85.0,,17550.0,Alabama,http://www.doc.state.al.us/StatReports
2002-11-01,raw data,27763.0,10126,17556.0,,,,81.0,,17637.0,Alabama,http://www.doc.state.al.us/StatReports
2002-12-01,raw data,27867.0,10209,17579.0,,,,79.0,,17658.0,Alabama,http://www.doc.state.al.us/StatReports
2003-01-01,raw data,27947.0,10276,17590.0,,,,81.0,,17671.0,Alabama,http://www.doc.state.al.us/StatReports
2003-02-01,raw data,28316.0,10503,17733.0,,,,80.0,,17813.0,Alabama,http://www.doc.state.al.us/StatReports
2003-03-01,raw data,28260.0,10515,17668.0,,,,77.0,,17745.0,Alabama,http://www.doc.state.al.us/StatReports
2003-04-01,raw data,28338.0,10573,17686.0,,,,79.0,,17765.0,Alabama,http://www.doc.state.al.us/StatReports
2003-05-01,raw data,28338.0,10581,17676.0,,,,81.0,,17757.0,Alabama,http://www.doc.state.al.us/StatReports
2003-06-01,raw data,28406.0,10606,17718.0,,,,82.0,,17800.0,Alabama,http://www.doc.state.al.us/StatReports
2003-07-01,raw data,28440.0,10609,17756.0,,,,75.0,,17831.0,Alabama,http://www.doc.state.al.us/StatReports
2003-08-01,raw data,28142.0,10502,17569.0,,,,71.0,,17640.0,Alabama,http://www.doc.state.al.us/StatReports
2003-09-01,raw data,27965.0,10458,17437.0,,,,70.0,,17507.0,Alabama,http://www.doc.state.al.us/StatReports
2003-10-01,raw data,27727.0,10440,17223.0,,,,64.0,,17287.0,Alabama,http://www.doc.state.al.us/StatReports
2003-11-01,raw data,27643.0,10405,17175.0,,,,63.0,,17238.0,Alabama,http://www.doc.state.al.us/StatReports
2003-12-01,raw data,27606.0,10416,17127.0,,,,63.0,,17190.0,Alabama,http://www.doc.state.al.us/StatReports
2004-01-01,raw data,27333.0,10392,16882.0,,,,59.0,,16941.0,Alabama,http://www.doc.state.al.us/StatReports
2004-02-01,raw data,26989.0,10255,16677.0,,,,57.0,,16734.0,Alabama,http://www.doc.state.al.us/StatReports
2004-03-01,raw data,26951.0,10285,16609.0,,,,57.0,,16666.0,Alabama,http://www.doc.state.al.us/StatReports
2004-04-01,raw data,26689.0,10218,16412.0,,,,59.0,,16471.0,Alabama,http://www.doc.state.al.us/StatReports
2004-05-01,raw data,26481.0,10162,16257.0,,,,62.0,,16319.0,Alabama,http://www.doc.state.al.us/StatReports
2004-06-01,raw data,26465.0,10236,16166.0,,,,63.0,,16229.0,Alabama,http://www.doc.state.al.us/StatReports
2004-07-01,raw data,26521.0,10346,16118.0,,,,57.0,,16175.0,Alabama,http://www.doc.state.al.us/StatReports
2004-08-01,raw data,26496.0,10314,16127.0,,,,55.0,,16182.0,Alabama,http://www.doc.state.al.us/StatReports
2004-09-01,raw data,26588.0,10380,16154.0,,,,54.0,,16208.0,Alabama,http://www.doc.state.al.us/StatReports
2004-10-01,raw data,26473.0,10344,16075.0,,,,54.0,,16129.0,Alabama,http://www.doc.state.al.us/StatReports
2004-11-01,raw data,26220.0,10216,15950.0,,,,54.0,,16004.0,Alabama,http://www.doc.state.al.us/StatReports
2004-12-01,raw data,26632.0,10452,16121.0,,,,59.0,,16180.0,Alabama,http://www.doc.state.al.us/StatReports
2005-01-01,raw data,27016.0,10682,16277.0,,,,57.0,,16334.0,Alabama,http://www.doc.state.al.us/StatReports
2005-02-01,raw data,27255.0,10781,16416.0,,,,58.0,,16474.0,Alabama,http://www.doc.state.al.us/StatReports
2005-03-01,raw data,27387.0,10852,16478.0,,,,57.0,,16535.0,Alabama,http://www.doc.state.al.us/StatReports
2005-04-01,raw data,27487.0,10962,16467.0,,,,58.0,,16525.0,Alabama,http://www.doc.state.al.us/StatReports
2005-05-01,raw data,27585.0,11039,16489.0,,,,57.0,,16546.0,Alabama,http://www.doc.state.al.us/StatReports
2005-06-01,raw data,27732.0,11141,16528.0,,,,63.0,,16591.0,Alabama,http://www.doc.state.al.us/StatReports
2005-07-01,raw data,27740.0,11186,16491.0,,,,63.0,,16554.0,Alabama,http://www.doc.state.al.us/StatReports
2005-08-01,raw data,27885.0,11265,16562.0,,,,58.0,,16620.0,Alabama,http://www.doc.state.al.us/StatReports
2005-09-01,raw data,27803.0,11251,16496.0,,,,56.0,,16552.0,Alabama,http://www.doc.state.al.us/StatReports
2005-10-01,raw data,27687.0,11223,16412.0,,,,52.0,,16464.0,Alabama,http://www.doc.state.al.us/StatReports
2005-11-01,raw data,27842.0,11283,16510.0,,,,49.0,,16559.0,Alabama,http://www.doc.state.al.us/StatReports
2005-12-01,raw data,27857.0,11319,16487.0,,,,51.0,,16538.0,Alabama,http://www.doc.state.al.us/StatReports
2006-01-01,raw data,27888.0,11351,16486.0,,,,51.0,,16537.0,Alabama,http://www.doc.state.al.us/StatReports
